Row Type,Action,Level,Campaign,Asset type,Link text,Description line 1,Description line 2,Final URL,Status
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Learn Guitar,Acoustic & Electric Guitar,Offline Classes in GTB Nagar,https://rhytthmraga.com/book?course=Guitar,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Learn Piano & Keys,Western & Classical Keyboard,Beginner to Advanced Batches,https://rhytthmraga.com/book?course=Piano,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Learn Drums,Acoustic Drum Kits & Rhythm,Hands-On Practice in Studio,https://rhytthmraga.com/book?course=Drums,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Singing & Vocals,Classical & Western Singing,Pitch & Voice Training,https://rhytthmraga.com/book?course=Vocals,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,1-on-1 Music Mentors,Certified Expert Instructors,Personalized Step-by-Step Plans,https://rhytthmraga.com/book,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Creative Art & Craft,"Sketching, Painting & Colors",Kids & Teens Art Studio,https://rhytthmraga.com/book?course=Creative%20Art,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Book Free Trial Class,30-Min In-Person Studio Demo,Zero Obligation Free Session,https://rhytthmraga.com/book,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Batch Timings & Fees,Flexible Morning & Evening,Small Batches (Max 4-5),https://rhytthmraga.com/#courses,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Visit GTB Nagar Studio,Near Metro Gate 4 Hudson Lane,Soundproof AC Practice Rooms,https://rhytthmraga.com/#location,Enabled
Asset,Add,Campaign,SEARCH_SKAG_MUSIC_CLASSES_GTB_NAGAR__DELHI,Sitelink,Kids Music Batches,Ages 4 to 14 Years Early Start,Fun Interactive Curriculum,https://rhytthmraga.com/book?course=Not%20sure%20yet,Enabled
